Path: [1, 2] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[1, 2]])  
Path: [2, 1] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[2, 1]])  
Path: [1, 3] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[1, 3]])  
Path: [3, 1] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[3, 1]])  
Path: [1, 12] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[1, 12]])
Path: [12, 1] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[12, 1]])
Path: [2, 3] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[2, 3]])  
Path: [3, 2] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[3, 2]])  
Path: [2, 4] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[2, 4]])  
Path: [4, 2] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[4, 2]])  
Path: [3, 5] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[3, 5]])  
Path: [5, 3] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[5, 3]])  
Path: [4, 6] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[4, 6]])  
Path: [6, 4] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[6, 4]])  
Path: [5, 6] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[5, 6]])  
Path: [6, 5] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[6, 5]])  
Path: [5, 7] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[5, 7]])  
Path: [7, 5] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[7, 5]])  
Path: [6, 8] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[6, 8]])  
Path: [8, 6] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[8, 6]])  
Path: [7, 10] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[7, 10]])
Path: [10, 7] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[10, 7]])
Path: [7, 11] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[7, 11]])
Path: [11, 7] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[11, 7]])
Path: [7, 12] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[7, 12]])
Path: [12, 7] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[12, 7]])
Path: [8, 9] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[8, 9]])  
Path: [9, 8] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[9, 8]])
Path: [8, 10] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[8, 10]])
Path: [10, 8] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[10, 8]])
Path: [9, 10] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[9, 10]])
Path: [10, 9] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[10, 9]])
Path: [10, 11] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[10, 11]])
Path: [11, 10] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[11, 10]])
Path: [11, 12] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[11, 12]])
Path: [12, 11] ; Dist: 1.0 ; Og.Dist: 1.0 ; traffic = 1 (Og. Path: [[12, 11]])
Path: [1, 2, 4] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[1, 2, 4]])
Path: [4, 2, 1] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[4, 2, 1]])
Path: [1, 3, 5] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[1, 3, 5]])
Path: [5, 3, 1] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[5, 3, 1]])
Path: [1, 12, 7] ; Dist: 2.0 ; Og.Dist: 2.0 ; traffic = 1 (Og. Path: [[1, 12, 7]])
